VENDOR_DUNS_NUMBER,FISCAL_YEAR,COUNT(1),SUM(TOTAL_OBLIGATED_AMOUNT)
17270989,2014,14,185974.09
623758133,2014,2,0
1962976,2014,5,114801.07
13549352,2014,2,20930.23
967488581,2014,17,21079239.88
78715290,2014,1,90300
135726185,2014,8,4280803.6
876958109,2014,30,222158.58
948155379,2014,1,4990
832211382,2014,1,300
829288989,2014,4,22539.8
807414565,2014,5,4553098.7
78474872,2014,2,7650
126642529,2014,1,45912
70508379,2014,11,0
20819723,2014,2,24799.9
801316613,2014,17,10886843.58
38775532,2014,72,901115.18
69008472,2014,50,572402.7
178221391,2014,59,20685036.84
603747028,2014,16,697699.11
74528345,2014,30,9807139
65970881,2014,1,10990
35965466,2014,11,235578.96
829279988,2014,1,3270.25
832563121,2014,42,850547.09
833240737,2014,2,52800
915344001,2014,1,15000
796033702,2014,22,43171.39
167191105,2014,1,4500
139229962,2014,8,1397376.34
78868921,2014,2,5760
878467455,2014,1,21000
14266006,2014,8,1362004.83
782582605,2014,4,32593
147065150,2014,1,15500
807420612,2014,13,31425
53404745,2014,2,65945
622812209,2014,1,2799.68
67930706,2014,3,37328360.83
146880583,2014,1,644772.5
170230239,2014,32,3861311.52
809544765,2014,52,19964725.69
10633766,2014,15,2940658.93
131062437,2014,2,286750
131894453,2014,20,109891
16676797,2014,66,1898481.33
4776001,2014,1,24300
48933431,2014,5,2000
118807259,2014,15,8983899.8
849724575,2014,26,688671.41
804845733,2014,31,18735.8
837242432,2014,2,25754.37
801369278,2014,11,1287955.74
715261970,2014,4,325406.31
943016071,2014,11,64371.68
137768482,2014,17,20259701.29
136136652,2014,122,980393.43
6415277,2014,4,32722.7
102254237,2014,13,967428.09
14014241,2014,1,3177
149615713,2014,3,19100
79464963,2014,47,574481.21
32954265,2014,10,387875
45936135,2014,23,230046.16
1707322,2014,46,444044.57
603105370,2014,8,308575.8
830574682,2014,19,3272596.32
603164000,2014,1,2500
6950232,2014,14,908494.2
867726374,2014,30,440636.37
603080136,2014,16,57683468.84
877623611,2014,2,17346.4
23900541,2014,47,601590.1
178129946,2014,2,3045096.07
465302594,2014,60,7099472.45
99550915,2014,2,157414
557723131,2014,3,62822.34
809740665,2014,2,34600
171387116,2014,19,6462742
964817840,2014,6,219440.98
66894551,2014,7,8015929
7258908,2014,13,1697138.1
809404676,2014,22,231092.6
7127103,2014,33,534239.83
79167721,2014,1,1400
103017570,2014,14,143520.67
799857602,2014,9,758505.4
843672283,2014,1,10000
66788886,2014,2,47379
689469674,2014,5,460110.62
144999427,2014,18,1684105.59
147587240,2014,13,1751663.67
276065299,2014,11,10314136.64
963533807,2014,14,444748.28
78751505,2014,9,161685.48
831923961,2014,4,816144.4
962190265,2014,14,20055.8
782251693,2014,1,723964.8
611744660,2014,31,256306.99
132057121,2014,4,2230662.88
37077195,2014,7,563419.1
884528506,2014,49,249219.52
79424477,2014,1,175445
10096102,2014,1,8543.85
833157261,2014,71,110382944.7
561519815,2014,71,7533942.68
944267996,2014,14,14348.85
78793673,2014,1,60000
609438114,2014,11,4719934.07
6950604,2014,12,66358978.08
12857277,2014,11,169939.43
77798528,2014,11,1123285.54
804420920,2014,7,86625
112289280,2014,1,24888
188068469,2014,8,4605507.12
841705940,2014,2,13818.52
370009847,2014,8,4308020.88
16474202,2014,13,199990.28
79289061,2014,4,576784.68
51833994,2014,14,1700489.85
79420524,2014,1,190225
624185323,2014,1,93030
89513733,2014,2,2243.73
198962110,2014,4,128203.17
189358294,2014,1,669.26
57336570,2014,54,1429006.67
81040214,2014,8,577413.67
687808725,2014,19,46384404.45
601207871,2014,6,213853.89
831900852,2014,5,1268840
34795526,2014,2,52344.96
177985561,2014,5,2543623.96
850527344,2014,3,223347.09
799187948,2014,3,274349
877442525,2014,2,19490
14198337,2014,8,176208.27
22926869,2014,7,579703.56
67759142,2014,89,1508254.78
76658434,2014,3,376113.86
96598248,2014,16,39152931.29
45092298,2014,4,55000
78633213,2014,4,387780.63
12695250,2014,70,551359.69
17637477,2014,83,4466106.97
611987751,2014,1,0
44408177,2014,4,103293.1
623914819,2014,2,12225
17389607,2014,10,144635.5
113343230,2014,4,25473.13
49761240,2014,20,130227.43
4146619,2014,13,2231575.18
58860537,2014,21,228844.28
613165369,2014,4,104030.93
41539230,2014,21,379329.43
20910951,2014,2,159951
47210422,2014,11,121766
184001555,2014,3,82056.5
967518770,2014,7,6862134.57
59524264,2014,49,21947117.48
829839500,2014,18,446284.93
6926943,2014,27,1132239.23
809072650,2014,17,505522.08
32872962,2014,2,3653.15
59172643,2014,19,1271546
79292081,2014,1,2527.56
825038235,2014,8,1629355.7
693025645,2014,15,474765.73
9762949,2014,2,19889.6
341908862,2014,45,13053267.44
140206686,2014,21,1518236
36333650,2014,6,50966.2
6024371,2014,7,9350
245565700,2014,1,0
783056799,2014,7,275322.16
177054343,2014,11,6717029.8
809993520,2014,9,12307503.31
62674544,2014,4,327766
796890593,2014,35,43016174.83
645682837,2014,3,1317203.41
558559445,2014,1,3965
88668652,2014,8,99814.03
620329305,2014,21,109622087.7
850509947,2014,3,16049.7
122322316,2014,11,150329.81
79402607,2014,1,14297.04
49954501,2014,8,2303248.86
961598443,2014,59,9511831.81
94526027,2014,5,432767.46
84014492,2014,7,8007077.7
623193919,2014,4,63694
132362166,2014,5,41230.19
25865437,2014,31,643030.79
39494810,2014,34,228196.81
963442665,2014,2,21597.9
43318823,2014,14,274489.12
926824616,2014,10,136494.28
13306972,2014,6,107251.83
604436050,2014,1,4305512.5
161244280,2014,4,14144574.05
77925295,2014,48,393469.74
72541576,2014,9,1308573
602926805,2014,7,439435.18
625441985,2014,1,3653
90385444,2014,1,5400
807937565,2014,9,2600375.31
808251503,2014,1,10000
118683309,2014,1,95000
98713852,2014,1,0
124962833,2014,1,158780
6997217,2014,8,916614.79
71568984,2014,9,132085.13
144369956,2014,2,10197.2
965690857,2014,26,317169.09
1158195,2014,30,436427.82
609652797,2014,4,353348.14
624368148,2014,14,218127.22
7457880,2014,1,119686
21717404,2014,1,3962
